iso,name_en,bbox
AFG,Afghanistan,38.6/60.4/29.3/75.0
AGO,Angola,-4.3/11.4/-18.1/24.2
AIA,Anguilla,18.9/-63.7/18.0/-62.6
ALB,Albania,42.8/18.9/39.5/21.2
AND,Andorra,42.8/1.3/42.3/1.9
ARE,United Arab Emirates,26.3/51.3/22.5/56.7
ARG,Argentina,-21.7/-73.7/-55.3/-53.5
ARM,Armenia,41.4/43.3/38.7/46.7
ATG,Antigua and Barbuda,18.0/-62.7/16.7/-61.3
AUS,Australia,-9.0/72.1/-55.4/168.3
AUT,Austria,49.1/9.4/46.3/17.3
AZE,Azerbaijan,42.1/44.7/38.3/51.3
BDI,Burundi,-2.2/28.9/-4.6/30.9
BEL,Belgium,51.7/2.3/49.4/6.5
BEN,Benin,12.5/0.7/5.9/3.9
BFA,Burkina Faso,15.2/-5.6/9.3/2.5
BGD,Bangladesh,26.7/87.9/20.3/92.8
BGR,Bulgaria,44.3/22.3/41.1/29.0
BHR,Bahrain,26.8/50.2/25.4/51.0
BHS,The Bahamas,27.6/-80.8/20.6/-72.3
BIH,Bosnia and Herzegovina,45.4/15.6/42.5/19.7
BLR,Belarus,56.3/23.1/51.2/32.9
BLZ,Belize,18.6/-89.3/15.8/-87.2
BMU,Bermuda,32.7/-65.2/31.9/-64.3
BOL,Bolivia,-9.6/-69.7/-23.0/-57.4
BRA,Brazil,5.4/-74.1/-34.0/-28.5
BRB,Barbados,13.6/-60.0/12.7/-59.1
BRN,Brunei,5.3/113.9/3.9/115.5
BTN,Bhutan,28.3/88.6/26.6/92.2
BWA,Botswana,-17.7/19.9/-27.0/29.5
CAF,Central African Republic,11.1/14.3/2.1/27.6
CAN,Canada,83.4/-141.1/41.6/-52.2
CHE,Switzerland,47.9/5.9/45.7/10.6
CHL,Chile,-17.4/-109.8/-56.8/-66.0
CHN,China,53.7/73.4/8.6/134.9
CIV,Côte d'Ivoire,10.8/-8.7/4.1/-2.4
CMR,Cameroon,13.2/8.3/1.6/16.3
COD,Democratic Republic of the Congo,5.5/11.9/-13.6/31.4
COG,Congo-Brazzaville,3.8/10.9/-5.2/18.7
COK,Cook Islands,-8.6/-166.2/-22.3/-157.0
COL,Colombia,16.1/-82.2/-4.3/-66.7
COM,Comoros,-11.1/42.7/-13.1/45.1
CPV,Cape Verde,17.5/-25.7/14.5/-22.4
CRI,Costa Rica,11.3/-87.4/5.2/-82.3
CUB,Cuba,23.6/-85.3/19.5/-73.8
CYM,Cayman Islands,20.1/-81.7/19.0/-79.4
CYP,Cyprus,36.0/31.9/34.3/35.0
CZE,Czechia,51.2/12.0/48.5/19.0
DEU,Germany,55.2/5.8/47.2/15.1
DJI,Djibouti,12.9/41.7/10.8/43.8
DMA,Dominica,15.9/-61.8/14.9/-60.9
DNK,Denmark,58.1/7.6/54.4/15.7
DOM,Dominican Republic,21.4/-72.2/17.2/-68.0
DZA,Algeria,37.4/-8.8/18.9/12.1
ECU,Ecuador,2.0/-92.3/-5.1/-75.1
EGY,Egypt,31.9/24.5/21.9/37.2
ERI,Eritrea,18.2/36.3/12.3/43.4
ESP,Spain,44.1/-18.5/27.3/4.7
EST,Estonia,60.0/21.3/57.4/28.3
ETH,Ethiopia,15.0/32.9/3.3/48.1
FIN,Finland,70.2/19.0/59.4/31.7
FJI,Fiji,-12.2/-180.1/-22.0/180.1
FLK,Falkland Islands,-50.7/-61.9/-53.2/-57.3
FRA,France,51.4/-178.5/-50.3/172.4
FRO,Faroe Islands,62.7/-8.2/61.0/-5.7
FSM,Federated States of Micronesia,10.4/137.0/0.7/163.3
GAB,Gabon,2.4/8.4/-4.2/14.6
GBR,United Kingdom,61.2/-14.1/49.6/2.2
GEO,Georgia,43.7/39.8/41.0/46.8
GGY,Guernsey,50.0/-3.1/49.1/-2.0
GHA,Ghana,11.3/-3.4/4.4/1.4
GIB,Gibraltar,36.3/-5.5/36.0/-5.2
GIN,Guinea,12.8/-15.7/7.1/-7.5
GMB,The Gambia,13.9/-17.1/13.0/-13.7
GNB,Guinea-Bissau,12.8/-17.0/10.6/-13.5
GNQ,Equatorial Guinea,4.1/5.3/-1.8/11.5
GRC,Greece,41.8/19.0/34.6/29.8
GRD,Grenada,12.7/-62.1/11.7/-61.1
GRL,Greenland,84.0/-74.2/59.4/-9.9
GTM,Guatemala,17.9/-92.5/13.5/-88.1
GUY,Guyana,8.7/-61.5/1.1/-56.4
HND,Honduras,17.7/-89.5/12.9/-82.1
HRV,Croatia,46.7/13.1/42.1/19.5
HTI,Haiti,20.4/-75.3/17.7/-71.5
HUN,Hungary,48.7/16.0/45.6/23.0
IDN,Indonesia,6.4/94.7/-11.3/141.1
IMN,Isle of Man,54.7/-5.3/53.7/-3.9
IND,India,35.8/67.9/6.5/97.5
IOT,British Indian Ocean Territory,-5.1/71.1/-7.6/72.6
IRL,Ireland,55.7/-11.1/51.1/-5.6
IRN,Iran,39.9/43.9/24.7/63.4
IRQ,Iraq,37.5/38.7/29.0/49.2
ISL,Iceland,67.5/-25.1/63.0/-12.7
ISR,Israel,33.4/34.2/29.4/36.0
ITA,Italy,47.2/6.5/35.2/18.9
JAM,Jamaica,18.8/-78.7/16.5/-75.7
JEY,Jersey,49.6/-2.7/48.8/-1.7
JOR,Jordan,33.5/34.8/29.1/39.4
